cif,FundID,cust_rlv,fund_rlv
1000026912,NN021,3,2
1000027252,01022,4,4
1000027265,06055,5,3
1000027337,FC016,3,3
1000027416,15029,5,5
1000027416,FD062,5,5
1000027416,03026,5,4
1000027570,AL003,3,3
1000027595,UA014,5,5
1000027595,UB047,5,5
1000027662,NE002,5,3
1000027662,NE006,5,3
1000027662,SC107,5,5
1000027662,PI124,5,3
1000027662,AL003,5,3
1000027662,03028,5,5
1000027662,UB010,5,3
1000027705,03004,4,2
1000027824,FD060,5,5
1000028066,06004,3,2
1000028066,AM003,3,3
1000028068,02007,3,3
1000028088,03034,4,5
1000028088,03026,4,4
1000028088,01017,4,4
1000028088,FD067,4,5
1000028189,AL024,4,4
1000028190,PI114,5,2
1000028190,AL003,5,3
1000028190,PI153,5,3
1000028192,NN026,5,3
1000028203,01007,2,3
1000028215,06020,5,4
1000028215,03023,5,4
1000028215,01033,5,5
1000028392,AL003,4,3
1000028392,UB047,4,5
1000028477,ES071,5,3
1000028535,AL003,5,3
1000028613,AL003,4,3
1000028617,NN020,5,2
1000028617,NE010,5,4
1000028723,FD059,5,5
1000028723,FD056,5,5
1000028905,NN025,4,3
1000028993,02007,5,3
1000028993,03028,5,5
1000028993,03020,5,4
1000028993,03029,5,5
1000028993,03016,5,4
1000028993,NN044,5,4
1000029187,06022,4,4
1000029187,FD036,4,4
1000029187,AL003,4,3
1000029336,ES009,4,2
1000029559,UB039,5,4
1000029707,AL003,4,3
1000029789,AL003,5,3
1000029811,03023,5,4
1000030222,10047,4,3
1000030232,05001,4,4
1000030232,02007,4,3
1000030322,AL003,4,3
1000030385,AL003,5,3
1000030556,PT021,5,4
1000030556,ES065,5,5
1000030556,06026,5,5
1000030684,06055,5,3
1000030688,05001,4,4
1000030688,07025,4,4
1000030698,AB010,5,4
1000030892,FC005,3,4
1000030892,FD049,3,4
1000031037,FC009,4,3
1000031712,FD035,5,4
1000031859,FD049,4,4
1000032289,AL003,4,3
1000032362,10020,3,3
1000032640,FD060,5,5
1000032724,NN025,5,3
1000032926,NN025,5,3
1000033167,01009,3,3
1000033280,01033,5,5
1000033308,NN025,5,3
1000033308,AL003,5,3
1000033536,02027,3,3
1000033536,02007,3,3
1000033763,AB005,4,4
1000033763,SC081,4,4
1000033763,PT028,4,4
1000033763,IV049,4,4
1000033764,02018,5,3
1000033775,AL024,5,4
1000033816,PT021,5,4
1000033816,PI115,5,3
1000034114,LM042,4,4
1000034114,06017,4,4
1000034177,FD083,4,3
1000034205,03026,5,4
1000034205,03028,5,5
1000034207,FD036,5,4
1000034236,FD049,5,4
1000034256,01010,5,3
1000034363,IV035,5,4
1000034363,PI153,5,3
1000034530,01017,5,4
1000034530,03013,5,4
1000034544,AL004,5,3
1000034565,AL003,5,3
1000034565,UB048,5,5
1000034789,FD067,5,5
1000035023,AL002,4,3
1000035023,PI153,4,3
1000035374,02007,4,3
1000035374,FC005,4,4
1000035374,AL003,4,3
1000035670,NN026,4,3
1000035777,FC016,5,3
1000035777,FC015,5,3
1000035911,02007,4,3
1000036001,NE010,5,4
1000036001,AL003,5,3
1000036001,08010,5,5
1000036043,06025,5,5
1000036388,AL003,3,3
1000036976,FD060,4,5
1000037029,JA026,4,4
1000037029,NN025,4,3
1000037029,NI001,4,3
1000037029,04071,4,3
1000037029,JA005,4,3
1000037029,AM003,4,3
1000037029,AL003,4,3
1000037029,NE010,4,4
1000037029,02007,4,3
1000037029,06022,4,4
1000037171,06012,4,3
1000037171,01009,4,3
1000037337,03034,5,5
1000037337,03018,5,4
1000037436,AL002,3,3
1000037467,FD027,5,4
1000037467,FD058,5,5
1000037484,01009,3,3
1000037662,11027,4,4
1000037703,PI153,3,3
1000037703,AL003,3,3
1000037703,02007,3,3
1000037970,AL003,5,3
1000037970,NN025,5,3
1000038018,LM047,5,5
1000038076,03015,5,4
1000038077,FD063,4,5
1000038151,02007,3,3
1000038151,AL003,3,3
1000038423,04023,5,5
1000038423,04020,5,5
1000038423,ES065,5,5
1000038428,02007,3,3
1000038436,AL003,3,3
1000038436,SC046,3,3
1000038436,02007,3,3
1000038444,07025,4,4
1000038695,01026,4,4
1000038715,FD056,5,5
1000038845,NN025,4,3
1000038877,NE002,4,3
1000038925,AL003,5,3
1000039121,AL024,4,4
1000039121,AL003,4,3
1000039157,04015,5,4
1000039157,02007,5,3
1000039361,02007,3,3
1000039361,01007,3,3
1000039550,AB027,3,3
1000039573,FD067,5,5
1000039597,AL003,3,3
1000039790,AL003,5,3
1000039950,02007,3,3
1000039976,03025,4,4
1000039976,FD085,4,3
1000040003,NE006,5,3
1000040036,03026,4,4
1000040092,AL003,4,3
1000040092,FD041,4,4
1000040182,PI153,3,3
1000040203,06028,5,5
1000040203,AL003,5,3
1000040203,06017,5,4
1000040320,FC017,5,3
1000040320,FD060,5,5
1000040320,AL003,5,3
1000040389,FD060,5,5
1000040389,FD085,5,3
1000040619,PI153,3,3
1000040619,AL003,3,3
1000041018,FD067,5,5
1000041167,AB009,3,4
1000041224,PI153,3,3
1000041426,NN025,5,3
1000041426,NE010,5,4
1000041426,04020,5,5
1000041509,AL003,5,3
1000041509,06017,5,4
1000041612,NN025,5,3
1000041909,AL003,4,3
1000042353,07004,5,2
1000042366,03026,5,4
1000042486,06019,4,4
1000042537,NN025,4,3
1000042537,PI153,4,3
1000042537,AL003,4,3
1000042574,FC005,4,4
1000042586,09024,5,2
1000042678,AL003,4,3
1000042678,03013,4,4
1000042806,AL003,5,3
1000042806,IN006,5,5
1000042923,02029,4,3
1000042951,FD007,4,3
